HM Part
Sequence, QP, kbps, Ypsnr, Upsnr, Vpsnr, EncTime
BQMall,22,3537.9150,39.9977,43.8185,45.3239,75.109
BQMall,27,1739.0700,37.3859,41.8922,42.8569,47.562
BQMall,32,919.1700,34.5478,39.9360,40.7019,32.172
BQMall,37,499.5750,31.7169,38.1615,38.6531,23.156
PartyScene,22,8798.2500,38.3233,41.4907,42.2207,137.688
PartyScene,27,4153.6625,34.3451,38.8329,39.3461,91.938
PartyScene,32,1996.6500,30.9414,36.6966,37.0560,62.125
PartyScene,37,957.9625,28.0205,35.0181,35.1505,41.859
RaceHorsesC,22,4675.0425,38.6117,41.1808,42.3081,168.422
RaceHorsesC,27,2055.0300,35.3624,38.8770,40.0374,104.016
RaceHorsesC,32,963.2475,32.3255,36.9276,38.0599,68.312
RaceHorsesC,37,457.7625,29.5017,35.5510,36.3722,46.078
BasketballPass,22,687.0000,42.2389,45.6942,45.1260,17.000
BasketballPass,27,343.7000,38.4234,42.8903,41.9096,11.453
BasketballPass,32,176.3750,35.0694,40.7086,39.2717,7.922
BasketballPass,37,94.2500,32.1921,38.4191,37.2250,5.719
BlowingBubbles,22,1481.8750,38.3589,41.4835,43.6015,31.266
BlowingBubbles,27,660.9250,35.0251,38.8653,40.9678,20.078
BlowingBubbles,32,311.7875,32.0661,36.7918,38.6432,12.719
BlowingBubbles,37,156.1625,29.5958,34.9427,36.8341,8.594
BQSquare,22,1342.2450,38.9677,44.8971,45.7160,19.219
BQSquare,27,611.3400,35.4570,42.5881,43.3148,12.953
BQSquare,32,311.3700,32.1973,40.5554,41.1945,8.734
BQSquare,37,180.2700,29.4697,38.7405,39.2231,6.500
RaceHorses,22,1232.6250,39.0233,41.2748,41.7149,41.500
RaceHorses,27,590.9925,34.9247,38.5138,38.8749,26.984
RaceHorses,32,288.7950,31.4280,36.3706,36.3670,17.891
RaceHorses,37,145.1325,28.6331,34.8346,34.4694,12.047
FourPeople,22,2059.8750,43.3103,47.9948,49.4483,72.234
FourPeople,27,1064.3850,41.7562,46.4482,47.7332,43.750
FourPeople,32,620.3100,39.5256,44.8350,45.7527,30.844
FourPeople,37,372.0000,36.9218,42.4687,43.5951,24.266
Johnny,22,1630.8150,43.1327,49.0654,49.8209,71.297
Johnny,27,663.9150,41.8881,47.8015,48.4084,40.328
Johnny,32,358.7850,40.3195,46.3466,46.7638,27.031
Johnny,37,207.4650,38.2842,43.9133,44.7520,20.281
KristenAndSara,22,1801.4850,43.6544,48.4787,49.5106,72.031
KristenAndSara,27,839.9100,42.1161,47.0587,47.9789,43.156
KristenAndSara,32,458.1750,40.1249,45.3763,46.2279,29.469
KristenAndSara,37,267.6450,37.8424,43.1844,44.2360,22.234
BasketballDrillText,22,2646.9875,41.6376,44.1944,44.9923,81.859
BasketballDrillText,27,1258.1625,38.4918,41.6506,42.1431,51.625
BasketballDrillText,32,634.6750,35.5256,39.4869,39.7484,34.875
BasketballDrillText,37,336.2000,32.8708,37.4134,37.3412,23.969
ChinaSpeed,22,4473.3825,42.9687,46.1623,46.0507,163.156
ChinaSpeed,27,2295.6750,38.6811,43.4906,42.9533,106.203
ChinaSpeed,32,1209.9525,34.9816,41.2623,40.4124,70.578
ChinaSpeed,37,598.4100,31.6388,39.2178,37.7469,48.812
SlideEditing,22,1089.0525,49.5427,48.2962,48.5340,64.500
SlideEditing,27,735.8700,45.3794,44.5884,44.8988,53.516
SlideEditing,32,571.6125,40.7879,42.0848,42.4051,45.109
SlideEditing,37,428.0775,36.0762,38.2185,38.9007,40.406
SlideShow,22,485.1750,50.5542,53.1743,54.2190,67.250
SlideShow,27,293.0050,46.4405,49.6903,51.0167,46.828
SlideShow,32,196.0150,43.1520,47.2071,48.7182,34.938
SlideShow,37,137.7850,39.4263,44.7174,46.3925,28.562
VVenC fast Part
Sequence, QP, kbps, Ypsnr, Upsnr, Vpsnr, EncTime
BasketballDrill,22,2834.5375,41.1333,43.8659,44.5541,23.859
BasketballDrill,27,1305.2625,37.9725,41.4412,41.6100,16.562
BasketballDrill,32,641.9500,35.0356,39.4060,39.3729,12.141
BasketballDrill,37,330.1875,32.4937,37.3538,37.1292,9.141
BQMall,22,3819.2100,39.7761,43.5289,44.9429,22.484
BQMall,27,1865.0400,37.0481,41.4457,42.3592,15.766
BQMall,32,961.7550,34.0922,39.4920,40.0267,11.578
BQMall,37,502.5750,31.1349,37.7418,38.2155,9.031
PartyScene,22,9133.5250,37.9569,41.2146,41.9069,38.359
PartyScene,27,4277.6125,33.9901,38.4554,38.9838,28.953
PartyScene,32,2023.0500,30.6007,36.4282,36.7069,21.062
PartyScene,37,938.9375,27.6244,34.7001,34.8055,15.250
RaceHorsesC,22,4863.2625,38.2777,40.8914,41.9685,42.312
RaceHorsesC,27,2046.6375,34.8042,38.4337,39.5396,28.875
RaceHorsesC,32,947.8500,31.7387,36.5513,37.4909,20.406
RaceHorsesC,37,438.1800,28.9317,35.1468,35.8736,14.938
BasketballPass,22,721.1125,41.7280,44.9976,44.5382,5.531
BasketballPass,27,352.4250,38.0070,42.2533,41.3913,3.984
BasketballPass,32,174.1750,34.6438,39.8081,38.6304,2.953
BasketballPass,37,92.0750,31.7735,37.6919,36.5990,2.312
BlowingBubbles,22,1556.0875,38.0652,41.2661,43.1267,9.578
BlowingBubbles,27,678.2750,34.7092,38.5287,40.4245,7.031
BlowingBubbles,32,311.1875,31.7567,36.4206,38.2117,4.250
BlowingBubbles,37,149.1500,29.2298,34.6455,36.4577,3.062
BQSquare,22,1418.8650,38.6031,44.6458,45.5743,7.062
BQSquare,27,652.3500,35.1968,42.1976,42.9409,5.453
BQSquare,32,328.7550,31.9384,40.3249,40.8588,3.688
BQSquare,37,188.2650,29.1915,38.6172,39.0582,2.797
RaceHorses,22,1347.7200,38.6966,41.0094,41.4932,11.531
RaceHorses,27,635.7375,34.6387,38.1331,38.4220,8.344
RaceHorses,32,300.4800,31.2039,35.9344,35.8683,5.875
RaceHorses,37,147.2325,28.4002,34.4635,34.1457,4.281
FourPeople,22,2033.3250,43.1335,47.7724,49.1632,25.297
FourPeople,27,1045.4100,41.4107,46.1916,47.3222,17.922
FourPeople,32,597.6300,39.0030,44.4117,45.4560,13.984
FourPeople,37,354.9000,36.2688,41.9717,43.1900,11.953
Johnny,22,1567.8900,42.9853,48.9272,49.6124,27.781
Johnny,27,647.5350,41.6617,47.5728,48.1409,18.312
Johnny,32,339.5100,39.9010,45.9940,46.1554,13.891
Johnny,37,195.8850,37.7197,43.5024,44.0674,11.891
KristenAndSara,22,1788.6000,43.4864,48.3245,49.2960,25.453
KristenAndSara,27,825.3000,41.8144,46.7372,47.6653,17.719
KristenAndSara,32,439.1100,39.6776,45.0922,45.9347,13.719
KristenAndSara,37,252.6000,37.3209,42.7733,43.8311,11.734
BasketballDrillText,22,2806.8375,41.4093,43.9175,44.6040,23.078
BasketballDrillText,27,1323.6750,38.2171,41.2234,41.5326,15.953
BasketballDrillText,32,666.3625,35.2221,39.0991,39.1997,11.672
BasketballDrillText,37,350.3875,32.5787,37.0086,36.8571,8.828
ChinaSpeed,22,5077.8075,42.6561,46.0186,45.9008,49.438
ChinaSpeed,27,2566.2300,38.3568,43.2316,42.6827,34.422
ChinaSpeed,32,1317.9900,34.6928,41.0552,40.1415,24.703
ChinaSpeed,37,647.4300,31.4214,38.8709,37.5744,18.250
SlideEditing,22,1144.7400,49.1118,47.5893,47.6253,21.938
SlideEditing,27,804.4125,44.8148,43.8871,44.0502,19.328
SlideEditing,32,576.1575,39.8946,41.8990,42.0669,17.203
SlideEditing,37,427.4850,35.0115,37.8136,38.5647,16.156
SlideShow,22,525.4150,50.0882,52.5129,53.5231,23.875
SlideShow,27,308.2600,46.1420,49.3909,50.2032,18.625
SlideShow,32,205.5700,42.5353,46.5894,47.8576,14.828
SlideShow,37,143.8600,39.0924,44.5111,45.5474,13.078
VVenC faster Part
Sequence, QP, kbps, Ypsnr, Upsnr, Vpsnr, EncTime
BasketballDrill,22,2953.3625,40.9458,43.4797,44.0164,13.672
BasketballDrill,27,1357.1000,37.7288,40.9651,41.0868,9.297
BasketballDrill,32,659.5375,34.7416,38.8892,38.7701,6.406
BasketballDrill,37,338.3250,32.1542,37.0739,36.6947,4.500
BQMall,22,4125.2550,39.6150,43.1872,44.6590,13.453
BQMall,27,1935.0000,36.8662,41.0680,41.9567,8.672
BQMall,32,984.8400,33.8541,39.0843,39.7693,6.031
BQMall,37,512.4900,30.8870,37.4735,37.7694,4.453
PartyScene,22,9349.9250,37.8733,40.8335,41.4442,22.719
PartyScene,27,4368.3000,33.8122,38.1270,38.6303,15.812
PartyScene,32,2066.6875,30.3644,36.0733,36.4009,10.969
PartyScene,37,960.3750,27.3736,34.6117,34.5681,7.562
RaceHorsesC,22,5142.8475,38.2281,40.6885,41.6848,25.891
RaceHorsesC,27,2140.5900,34.6398,38.1848,39.2369,16.656
RaceHorsesC,32,991.1175,31.5403,36.2255,37.2028,11.422
RaceHorsesC,37,463.0050,28.7785,35.0051,35.6540,7.672
BasketballPass,22,732.2875,41.6297,44.8220,44.2155,2.594
BasketballPass,27,357.7500,37.8724,41.8830,40.9231,1.797
BasketballPass,32,179.7000,34.4898,39.3203,38.2969,1.281
BasketballPass,37,94.0375,31.5274,37.4993,36.4760,0.953
BlowingBubbles,22,1641.4500,38.0107,40.9781,42.8935,5.000
BlowingBubbles,27,712.8500,34.6069,38.3287,40.2437,3.203
BlowingBubbles,32,323.1625,31.6311,36.1870,37.9695,2.141
BlowingBubbles,37,153.1875,29.0475,34.3947,36.1910,1.438
BQSquare,22,1475.3550,38.3877,44.2893,45.0508,3.406
BQSquare,27,678.9300,34.8594,41.6720,42.4853,2.234
BQSquare,32,336.4800,31.6143,39.5568,40.2911,1.500
BQSquare,37,195.1800,28.9072,38.4674,38.7210,1.125
RaceHorses,22,1388.6475,38.6200,40.8030,41.2122,6.562
RaceHorses,27,656.4375,34.5219,38.0267,38.2384,4.562
RaceHorses,32,311.2500,31.0228,35.7414,35.8134,3.125
RaceHorses,37,155.2800,28.2543,34.1263,34.0010,2.125
FourPeople,22,2390.8200,42.9043,47.3232,48.7335,13.703
FourPeople,27,1106.8950,41.0694,45.5298,46.7738,8.031
FourPeople,32,622.9500,38.5888,43.6539,44.7811,5.719
FourPeople,37,363.9000,35.7383,41.7022,42.8054,4.500
Johnny,22,1950.1050,42.8475,48.6073,49.3385,13.688
Johnny,27,710.6850,41.4086,47.0163,47.6727,7.359
Johnny,32,356.7900,39.5950,45.1754,45.7697,5.078
Johnny,37,199.9350,37.3554,43.0857,43.6767,3.953
KristenAndSara,22,2088.9450,43.3300,48.0098,48.9855,13.750
KristenAndSara,27,894.7950,41.5791,46.1530,47.1324,8.047
KristenAndSara,32,464.1450,39.3532,44.1884,45.3232,5.562
KristenAndSara,37,262.3500,36.8701,42.3503,43.3130,4.250
BasketballDrillText,22,2909.3875,41.2233,43.5353,44.1609,13.125
BasketballDrillText,27,1369.8125,37.9708,40.8093,40.9746,8.859
BasketballDrillText,32,685.6875,34.9273,38.5015,38.5130,6.172
BasketballDrillText,37,361.7375,32.2322,36.5414,36.3043,4.469
ChinaSpeed,22,5231.9325,42.6220,45.7337,45.5366,28.078
ChinaSpeed,27,2651.7825,38.2666,42.8153,42.3410,19.375
ChinaSpeed,32,1359.0150,34.5342,40.6967,39.8226,13.484
ChinaSpeed,37,668.2050,31.2443,38.5665,37.3078,9.234
SlideEditing,22,1211.6850,48.9528,46.9817,47.0628,9.453
SlideEditing,27,829.4025,44.7351,41.9900,42.4011,8.266
SlideEditing,32,633.3450,39.6509,39.1361,39.7526,7.547
SlideEditing,37,459.1125,34.6872,37.4616,38.1183,6.656
SlideShow,22,529.3400,49.9313,52.0913,53.0434,10.500
SlideShow,27,310.5650,45.9299,48.5955,49.4964,8.141
SlideShow,32,206.3000,42.2669,45.2108,46.8846,6.547
SlideShow,37,143.9450,38.5210,43.6269,45.6254,5.578
